股票代码,股票名称,匹配度,最佳买点日期,最佳买点价格,当前价格,市值,核心特征匹配,特征
002889,东方嘉盛,0.999,2025-12-31,15.36,15.36,38.6,{},"{'起点当周量比': 0.38, '起点前10周均量': 407719.0, '起点前20周均量': 525724.0, '起点前40周均量': 500604.0, '成交量萎缩程度': 0.78, '起点前40周最大量': 1276461.0, '最大量对应最低价': 12.46, '最大量对应日期': '2024-06-21', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.12, '价格相对位置': 42.82, '相对高点跌幅': 24.15, '起点前20周最高价': 19.13, '起点前20周最低价': 11.05, '起点前40周最高价': 19.13, '起点前40周最低价': 10.01, '起点前20周波动幅度': 73.12, '价格相对MA5': 5.73, 'MA5值': 13.72, '价格相对MA10': -3.39, 'MA10值': 15.02, '价格相对MA20': -0.8, 'MA20值': 14.63, '价格相对MA40': 11.15, 'MA40值': 13.05, 'MA20斜率': 3.88, '起点前20周量价相关系数': 0.299, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 36.4, '起点前20周波动率': 54.34, '90%成本集中度': 21.37, '筹码集中度': 56.09, '盈利筹码比例': 45.57, '起点价格': 14.51, '起点日期': '2025-02-07'}"
002935,天奥电子,0.999,2025-12-31,22.35,22.35,92.77,{},"{'起点当周量比': 0.49, '起点前10周均量': 334963.0, '起点前20周均量': 445536.0, '起点前40周均量': 326483.0, '成交量萎缩程度': 0.75, '起点前40周最大量': 995005.0, '最大量对应最低价': 16.02, '最大量对应日期': '2024-10-25', '是否跌破最大量最低价': 1, '相对最大量最低价跌幅': 1.81, '起点量比最大量': 0.17, '价格相对位置': 52.61, '相对高点跌幅': 15.61, '起点前20周最高价': 18.64, '起点前20周最低价': 12.5, '起点前40周最高价': 18.64, '起点前40周最低价': 10.22, '起点前20周波动幅度': 49.12, '价格相对MA5': 4.99, 'MA5值': 14.98, '价格相对MA10': -1.35, 'MA10值': 15.94, '价格相对MA20': 0.36, 'MA20值': 15.67, '价格相对MA40': 10.81, 'MA40值': 14.19, 'MA20斜率': 2.22, '起点前20周量价相关系数': -0.013, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 18.14, '起点前20周波动率': 32.65, '90%成本集中度': 13.72, '筹码集中度': 55.22, '盈利筹码比例': 61.21, '起点价格': 15.73, '起点日期': '2025-02-07'}"
300092,科新机电,0.999,2025-12-31,15.79,15.79,33.14,{},"{'起点当周量比': 0.62, '起点前10周均量': 267078.0, '起点前20周均量': 446014.0, '起点前40周均量': 450133.0, '成交量萎缩程度': 0.6, '起点前40周最大量': 1643313.0, '最大量对应最低价': 11.51, '最大量对应日期': '2024-10-25', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.1, '价格相对位置': 54.84, '相对高点跌幅': 19.1, '起点前20周最高价': 14.4, '起点前20周最低价': 8.31, '起点前40周最高价': 14.4, '起点前40周最低价': 8.31, '起点前20周波动幅度': 73.29, '价格相对MA5': 5.95, 'MA5值': 11.0, '价格相对MA10': 1.49, 'MA10值': 11.48, '价格相对MA20': 2.91, 'MA20值': 11.32, '价格相对MA40': 8.92, 'MA40值': 10.7, 'MA20斜率': 6.8, '起点前20周量价相关系数': 0.332, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 17.75, '起点前20周波动率': 45.67, '90%成本集中度': 18.59, '筹码集中度': 72.86, '盈利筹码比例': 75.25, '起点价格': 11.65, '起点日期': '2025-02-07'}"
300171,东富龙,0.999,2025-12-31,15.7,15.7,88.34,{},"{'起点当周量比': 0.43, '起点前10周均量': 543263.0, '起点前20周均量': 552427.0, '起点前40周均量': 436980.0, '成交量萎缩程度': 0.98, '起点前40周最大量': 1417486.0, '最大量对应最低价': 14.46, '最大量对应日期': '2024-05-10', '是否跌破最大量最低价': 1, '相对最大量最低价跌幅': 9.34, '起点量比最大量': 0.17, '价格相对位置': 54.85, '相对高点跌幅': 18.52, '起点前20周最高价': 16.09, '起点前20周最低价': 9.49, '起点前40周最高价': 17.74, '起点前40周最低价': 9.49, '起点前20周波动幅度': 69.55, '价格相对MA5': 6.57, 'MA5值': 12.3, '价格相对MA10': -1.42, 'MA10值': 13.3, '价格相对MA20': 2.09, 'MA20值': 12.84, '价格相对MA40': 5.1, 'MA40值': 12.47, 'MA20斜率': 4.08, '起点前20周量价相关系数': 0.317, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 21.47, '起点前20周波动率': 50.36, '90%成本集中度': 20.02, '筹码集中度': 55.89, '盈利筹码比例': 70.64, '起点价格': 13.11, '起点日期': '2025-02-07'}"
300360,炬华科技,0.999,2025-12-31,17.39,17.39,87.0,{},"{'起点当周量比': 1.02, '起点前10周均量': 465179.0, '起点前20周均量': 548862.0, '起点前40周均量': 494016.0, '成交量萎缩程度': 0.85, '起点前40周最大量': 1121992.0, '最大量对应最低价': 13.28, '最大量对应日期': '2024-06-21', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.42, '价格相对位置': 63.53, '相对高点跌幅': 13.05, '起点前20周最高价': 19.0, '起点前20周最低价': 12.2, '起点前40周最高价': 19.0, '起点前40周最低价': 11.9, '起点前20周波动幅度': 55.74, '价格相对MA5': 4.36, 'MA5值': 15.83, '价格相对MA10': 3.68, 'MA10值': 15.93, '价格相对MA20': 5.55, 'MA20值': 15.65, '价格相对MA40': 12.34, 'MA40值': 14.71, 'MA20斜率': 8.77, '起点前20周量价相关系数': 0.176, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 6.46, '起点前20周波动率': 32.29, '90%成本集中度': 13.63, '筹码集中度': 43.21, '盈利筹码比例': 99.26, '起点价格': 16.52, '起点日期': '2025-02-07'}"
300504,天邑股份,0.999,2025-12-31,14.89,14.89,32.5,{},"{'起点当周量比': 0.41, '起点前10周均量': 499614.0, '起点前20周均量': 536859.0, '起点前40周均量': 443775.0, '成交量萎缩程度': 0.93, '起点前40周最大量': 1631665.0, '最大量对应最低价': 13.0, '最大量对应日期': '2024-08-23', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.13, '价格相对位置': 45.06, '相对高点跌幅': 24.15, '起点前20周最高价': 21.2, '起点前20周最低价': 11.88, '起点前40周最高价': 21.2, '起点前40周最低价': 10.51, '起点前20周波动幅度': 78.45, '价格相对MA5': 3.86, 'MA5值': 15.48, '价格相对MA10': -5.9, 'MA10值': 17.09, '价格相对MA20': -3.07, 'MA20值': 16.59, '价格相对MA40': 9.75, 'MA40值': 14.65, 'MA20斜率': 1.75, '起点前20周量价相关系数': 0.147, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 35.92, '起点前20周波动率': 62.25, '90%成本集中度': 23.74, '筹码集中度': 52.42, '盈利筹码比例': 49.54, '起点价格': 16.08, '起点日期': '2025-02-07'}"
300514,友讯达,0.999,2025-12-31,13.21,13.21,21.17,{},"{'起点当周量比': 0.7, '起点前10周均量': 248813.0, '起点前20周均量': 283107.0, '起点前40周均量': 291595.0, '成交量萎缩程度': 0.88, '起点前40周最大量': 905940.0, '最大量对应最低价': 14.45, '最大量对应日期': '2024-05-31', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.19, '价格相对位置': 65.22, '相对高点跌幅': 12.17, '起点前20周最高价': 17.09, '起点前20周最低价': 11.11, '起点前40周最高价': 17.09, '起点前40周最低价': 10.85, '起点前20周波动幅度': 53.83, '价格相对MA5': 9.59, 'MA5值': 13.7, '价格相对MA10': 4.77, 'MA10值': 14.33, '价格相对MA20': 7.43, 'MA20值': 13.97, '价格相对MA40': 10.83, 'MA40值': 13.54, 'MA20斜率': 5.47, '起点前20周量价相关系数': 0.162, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 16.81, '起点前20周波动率': 33.36, '90%成本集中度': 14.13, '筹码集中度': 43.74, '盈利筹码比例': 96.31, '起点价格': 15.01, '起点日期': '2025-02-07'}"
300525,博思软件,0.999,2025-12-31,14.1,14.1,87.71,{},"{'起点当周量比': 1.26, '起点前10周均量': 576595.0, '起点前20周均量': 699910.0, '起点前40周均量': 500124.0, '成交量萎缩程度': 0.82, '起点前40周最大量': 1684337.0, '最大量对应最低价': 14.93, '最大量对应日期': '2024-10-18', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.43, '价格相对位置': 46.72, '相对高点跌幅': 23.14, '起点前20周最高价': 20.01, '起点前20周最低价': 11.32, '起点前40周最高价': 20.01, '起点前40周最低价': 10.67, '起点前20周波动幅度': 76.77, '价格相对MA5': 9.39, 'MA5值': 14.06, '价格相对MA10': -1.57, 'MA10值': 15.62, '价格相对MA20': -2.53, 'MA20值': 15.78, '价格相对MA40': 11.24, 'MA40值': 13.83, 'MA20斜率': -3.22, '起点前20周量价相关系数': 0.16, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 37.33, '起点前20周波动率': 53.34, '90%成本集中度': 20.45, '筹码集中度': 58.45, '盈利筹码比例': 53.21, '起点价格': 15.38, '起点日期': '2025-02-07'}"
300560,中富通,0.999,2025-12-31,16.16,16.16,30.21,{},"{'起点当周量比': 0.59, '起点前10周均量': 437303.0, '起点前20周均量': 597870.0, '起点前40周均量': 531300.0, '成交量萎缩程度': 0.73, '起点前40周最大量': 1442066.0, '最大量对应最低价': 11.9, '最大量对应日期': '2024-09-27', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.18, '价格相对位置': 40.36, '相对高点跌幅': 26.22, '起点前20周最高价': 18.99, '起点前20周最低价': 10.64, '起点前40周最高价': 18.99, '起点前40周最低价': 9.22, '起点前20周波动幅度': 78.48, '价格相对MA5': 5.48, 'MA5值': 13.28, '价格相对MA10': -3.74, 'MA10值': 14.55, '价格相对MA20': -4.98, 'MA20值': 14.74, '价格相对MA40': 7.72, 'MA40值': 13.01, 'MA20斜率': -6.77, '起点前20周量价相关系数': -0.125, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 35.95, '起点前20周波动率': 35.95, '90%成本集中度': 13.95, '筹码集中度': 58.54, '盈利筹码比例': 41.0, '起点价格': 14.01, '起点日期': '2025-02-07'}"
300565,科信技术,0.999,2025-12-31,12.61,12.61,28.78,{},"{'起点当周量比': 0.49, '起点前10周均量': 431619.0, '起点前20周均量': 630782.0, '起点前40周均量': 457723.0, '成交量萎缩程度': 0.68, '起点前40周最大量': 1487530.0, '最大量对应最低价': 14.87, '最大量对应日期': '2024-10-25', '是否跌破最大量最低价': 1, '相对最大量最低价跌幅': 14.66, '起点量比最大量': 0.14, '价格相对位置': 31.86, '相对高点跌幅': 31.03, '起点前20周最高价': 18.4, '起点前20周最低价': 10.02, '起点前40周最高价': 18.4, '起点前40周最低价': 9.03, '起点前20周波动幅度': 83.63, '价格相对MA5': 5.93, 'MA5值': 11.98, '价格相对MA10': -1.28, 'MA10值': 12.85, '价格相对MA20': -5.5, 'MA20值': 13.43, '价格相对MA40': 5.99, 'MA40值': 11.97, 'MA20斜率': -3.81, '起点前20周量价相关系数': 0.314, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 25.78, '起点前20周波动率': 65.66, '90%成本集中度': 22.63, '筹码集中度': 57.6, '盈利筹码比例': 35.16, '起点价格': 12.69, '起点日期': '2025-02-07'}"
