股票代码,股票名称,匹配度,最佳买点日期,最佳买点价格,当前价格,市值,核心特征匹配,特征
002886,沃特股份,0.959,2025-12-31,21.72,21.72,45.41,{},"{'起点当周量比': 0.65, '起点前10周均量': 880536.0, '起点前20周均量': 668365.0, '起点前40周均量': 582017.0, '成交量萎缩程度': 1.32, '起点前40周最大量': 2074137.0, '最大量对应最低价': 16.56, '最大量对应日期': '2024-12-13', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.27, '价格相对位置': 70.87, '相对高点跌幅': 12.23, '起点前20周最高价': 20.61, '起点前20周最低价': 11.96, '起点前40周最高价': 20.61, '起点前40周最低价': 11.96, '起点前20周波动幅度': 72.32, '价格相对MA5': 10.05, 'MA5值': 16.44, '价格相对MA10': 7.83, 'MA10值': 16.78, '价格相对MA20': 15.28, 'MA20值': 15.69, '价格相对MA40': 20.24, 'MA40值': 15.04, 'MA20斜率': 19.24, '起点前20周量价相关系数': 0.284, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 22.82, '起点前20周波动率': 47.15, '90%成本集中度': 19.08, '筹码集中度': 67.78, '盈利筹码比例': 95.58, '起点价格': 18.09, '起点日期': '2025-02-07'}"
300206,理邦仪器,0.959,2025-12-31,12.79,12.79,43.28,{},"{'起点当周量比': 0.53, '起点前10周均量': 841738.0, '起点前20周均量': 653273.0, '起点前40周均量': 444693.0, '成交量萎缩程度': 1.29, '起点前40周最大量': 2592682.0, '最大量对应最低价': 11.56, '最大量对应日期': '2024-11-29', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.17, '价格相对位置': 47.25, '相对高点跌幅': 24.74, '起点前20周最高价': 16.29, '起点前20周最低价': 8.65, '起点前40周最高价': 16.29, '起点前40周最低价': 7.53, '起点前20周波动幅度': 88.32, '价格相对MA5': 17.12, 'MA5值': 10.47, '价格相对MA10': 8.11, 'MA10值': 11.34, '价格相对MA20': 12.91, 'MA20值': 10.86, '价格相对MA40': 25.79, 'MA40值': 9.75, 'MA20斜率': 3.19, '起点前20周量价相关系数': 0.041, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 29.35, '起点前20周波动率': 48.23, '90%成本集中度': 19.43, '筹码集中度': 74.8, '盈利筹码比例': 82.51, '起点价格': 12.26, '起点日期': '2025-02-07'}"
002559,亚威股份,0.958,2025-12-31,10.12,10.12,50.64,{},"{'起点当周量比': 0.67, '起点前10周均量': 1769381.0, '起点前20周均量': 1689313.0, '起点前40周均量': 1225597.0, '成交量萎缩程度': 1.05, '起点前40周最大量': 4869578.0, '最大量对应最低价': 9.1, '最大量对应日期': '2024-12-06', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.24, '价格相对位置': 58.92, '相对高点跌幅': 18.75, '起点前20周最高价': 12.16, '起点前20周最低价': 6.61, '起点前40周最高价': 12.16, '起点前40周最低价': 6.54, '起点前20周波动幅度': 83.96, '价格相对MA5': 9.56, 'MA5值': 9.02, '价格相对MA10': 5.93, 'MA10值': 9.33, '价格相对MA20': 10.91, 'MA20值': 8.91, '价格相对MA40': 19.07, 'MA40值': 8.3, 'MA20斜率': 15.14, '起点前20周量价相关系数': 0.411, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 24.15, '起点前20周波动率': 48.4, '90%成本集中度': 19.48, '筹码集中度': 65.31, '盈利筹码比例': 90.96, '起点价格': 9.88, '起点日期': '2025-02-07'}"
300532,今天国际,0.958,2025-12-31,11.78,11.78,50.86,{},"{'起点当周量比': 0.56, '起点前10周均量': 765221.0, '起点前20周均量': 828107.0, '起点前40周均量': 556858.0, '成交量萎缩程度': 0.92, '起点前40周最大量': 1922498.0, '最大量对应最低价': 11.52, '最大量对应日期': '2024-11-29', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.22, '价格相对位置': 54.16, '相对高点跌幅': 18.06, '起点前20周最高价': 14.34, '起点前20周最低价': 8.69, '起点前40周最高价': 14.34, '起点前40周最低价': 6.79, '起点前20周波动幅度': 65.02, '价格相对MA5': 9.9, 'MA5值': 10.69, '价格相对MA10': 2.55, 'MA10值': 11.46, '价格相对MA20': 4.04, 'MA20值': 11.29, '价格相对MA40': 20.06, 'MA40值': 9.79, 'MA20斜率': -1.89, '起点前20周量价相关系数': 0.048, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 21.9, '起点前20周波动率': 38.86, '90%成本集中度': 15.84, '筹码集中度': 56.93, '盈利筹码比例': 79.37, '起点价格': 11.75, '起点日期': '2025-02-07'}"
300884,狄耐克,0.958,2025-12-31,14.8,14.8,28.33,{},"{'起点当周量比': 0.98, '起点前10周均量': 543655.0, '起点前20周均量': 517868.0, '起点前40周均量': 402337.0, '成交量萎缩程度': 1.05, '起点前40周最大量': 938269.0, '最大量对应最低价': 11.45, '最大量对应日期': '2024-12-06', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.57, '价格相对位置': 57.69, '相对高点跌幅': 17.9, '起点前20周最高价': 14.3, '起点前20周最低价': 8.25, '起点前40周最高价': 14.3, '起点前40周最低价': 7.29, '起点前20周波动幅度': 73.33, '价格相对MA5': 13.28, 'MA5值': 10.36, '价格相对MA10': 3.35, 'MA10值': 11.36, '价格相对MA20': 6.71, 'MA20值': 11.0, '价格相对MA40': 20.33, 'MA40值': 9.76, 'MA20斜率': -0.52, '起点前20周量价相关系数': 0.154, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 29.76, '起点前20周波动率': 42.78, '90%成本集中度': 16.41, '筹码集中度': 44.81, '盈利筹码比例': 68.81, '起点价格': 11.74, '起点日期': '2025-02-07'}"
000678,襄阳轴承,0.957,2025-12-31,15.03,15.03,69.08,{},"{'起点当周量比': 0.96, '起点前10周均量': 1277736.0, '起点前20周均量': 1407103.0, '起点前40周均量': 1018021.0, '成交量萎缩程度': 0.91, '起点前40周最大量': 2791257.0, '最大量对应最低价': 6.59, '最大量对应日期': '2024-12-13', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.44, '价格相对位置': 62.67, '相对高点跌幅': 16.4, '起点前20周最高价': 8.17, '起点前20周最低价': 4.58, '起点前40周最高价': 8.17, '起点前40周最低价': 3.45, '起点前20周波动幅度': 78.38, '价格相对MA5': 9.77, 'MA5值': 6.22, '价格相对MA10': 5.38, 'MA10值': 6.48, '价格相对MA20': 12.44, 'MA20值': 6.07, '价格相对MA40': 33.89, 'MA40值': 5.1, 'MA20斜率': 17.48, '起点前20周量价相关系数': 0.518, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 24.74, '起点前20周波动率': 44.78, '90%成本集中度': 17.41, '筹码集中度': 49.59, '盈利筹码比例': 82.96, '起点价格': 6.83, '起点日期': '2025-02-07'}"
002552,宝鼎科技,0.956,2025-12-31,16.51,16.51,60.84,{},"{'起点当周量比': 0.94, '起点前10周均量': 701867.0, '起点前20周均量': 495134.0, '起点前40周均量': 564908.0, '成交量萎缩程度': 1.42, '起点前40周最大量': 1975800.0, '最大量对应最低价': 13.53, '最大量对应日期': '2025-01-17', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.33, '价格相对位置': 73.86, '相对高点跌幅': 10.42, '起点前20周最高价': 18.13, '起点前20周最低价': 10.9, '起点前40周最高价': 18.14, '起点前40周最低价': 10.9, '起点前20周波动幅度': 66.33, '价格相对MA5': 0.69, 'MA5值': 16.13, '价格相对MA10': 8.66, 'MA10值': 14.95, '价格相对MA20': 14.8, 'MA20值': 14.15, '价格相对MA40': 15.0, 'MA40值': 14.12, 'MA20斜率': 18.41, '起点前20周量价相关系数': 0.455, '起点当周价涨': 1, '起点当周量增': 0, '起点当周价涨量增': 0, '起点前10周波动率': 31.26, '起点前20周波动率': 36.22, '90%成本集中度': 11.87, '筹码集中度': 64.1, '盈利筹码比例': 76.96, '起点价格': 16.24, '起点日期': '2025-08-15'}"
603029,天鹅股份,0.956,2025-12-31,18.24,18.24,22.13,{},"{'起点当周量比': 0.56, '起点前10周均量': 374969.0, '起点前20周均量': 304448.0, '起点前40周均量': 207209.0, '成交量萎缩程度': 1.23, '起点前40周最大量': 860519.0, '最大量对应最低价': 17.83, '最大量对应日期': '2024-12-06', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.25, '价格相对位置': 64.67, '相对高点跌幅': 15.14, '起点前20周最高价': 21.86, '起点前20周最低价': 12.49, '起点前40周最高价': 21.86, '起点前40周最低价': 12.49, '起点前20周波动幅度': 75.02, '价格相对MA5': 8.38, 'MA5值': 17.12, '价格相对MA10': 4.15, 'MA10值': 17.81, '价格相对MA20': 12.88, 'MA20值': 16.43, '价格相对MA40': 21.27, 'MA40值': 15.3, 'MA20斜率': 20.13, '起点前20周量价相关系数': 0.457, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 26.26, '起点前20周波动率': 49.44, '90%成本集中度': 18.27, '筹码集中度': 64.62, '盈利筹码比例': 80.06, '起点价格': 18.55, '起点日期': '2025-02-07'}"
000811,冰轮环境,0.955,2025-12-31,18.52,18.52,181.2,{},"{'起点当周量比': 0.53, '起点前10周均量': 1521124.0, '起点前20周均量': 1179754.0, '起点前40周均量': 772166.0, '成交量萎缩程度': 1.29, '起点前40周最大量': 3177166.0, '最大量对应最低价': 8.45, '最大量对应日期': '2024-12-20', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.25, '价格相对位置': 71.37, '相对高点跌幅': 12.63, '起点前20周最高价': 10.45, '起点前20周最低价': 5.84, '起点前40周最高价': 10.45, '起点前40周最低价': 5.75, '起点前20周波动幅度': 78.94, '价格相对MA5': 1.29, 'MA5值': 9.01, '价格相对MA10': 3.11, 'MA10值': 8.86, '价格相对MA20': 11.91, 'MA20值': 8.16, '价格相对MA40': 19.57, 'MA40值': 7.64, 'MA20斜率': 28.59, '起点前20周量价相关系数': 0.227, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 20.99, '起点前20周波动率': 53.63, '90%成本集中度': 20.69, '筹码集中度': 62.87, '盈利筹码比例': 88.55, '起点价格': 9.13, '起点日期': '2025-02-07'}"
600081,东风科技,0.954,2025-12-31,11.83,11.83,65.42,{},"{'起点当周量比': 0.78, '起点前10周均量': 335458.0, '起点前20周均量': 422098.0, '起点前40周均量': 278582.0, '成交量萎缩程度': 0.79, '起点前40周最大量': 1339304.0, '最大量对应最低价': 10.49, '最大量对应日期': '2024-11-15', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.2, '价格相对位置': 58.37, '相对高点跌幅': 16.26, '起点前20周最高价': 12.85, '起点前20周最低价': 7.83, '起点前40周最高价': 12.85, '起点前40周最低价': 7.83, '起点前20周波动幅度': 64.11, '价格相对MA5': 9.57, 'MA5值': 9.82, '价格相对MA10': 3.79, 'MA10值': 10.37, '价格相对MA20': 6.68, 'MA20值': 10.09, '价格相对MA40': 14.18, 'MA40值': 9.42, 'MA20斜率': 4.91, '起点前20周量价相关系数': 0.591, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 18.72, '起点前20周波动率': 38.25, '90%成本集中度': 15.4, '筹码集中度': 68.48, '盈利筹码比例': 81.21, '起点价格': 10.76, '起点日期': '2025-02-07'}"
