序号,扫描日期,排名,股票代码,股票名称,匹配度,买入日期,买入价格
144,2025-11-24,3,300463,迈克生物,0.95,2025-11-24,11.45
145,2025-12-01,1,002096,易普力,0.958,2025-12-01,13.26
146,2025-12-01,2,300404,博济医药,0.951,2025-12-01,9.94
147,2025-12-01,3,300463,迈克生物,0.95,2025-12-01,11.54
148,2025-12-08,1,002096,易普力,0.958,2025-12-08,13.03
149,2025-12-08,2,300404,博济医药,0.951,2025-12-08,9.69
150,2025-12-08,3,300463,迈克生物,0.95,2025-12-08,11.45
151,2025-12-15,1,002096,易普力,0.958,2025-12-15,13.05
152,2025-12-15,2,300404,博济医药,0.951,2025-12-15,9.38
153,2025-12-15,3,300463,迈克生物,0.95,2025-12-15,11.19
154,2025-12-22,1,002096,易普力,0.958,2025-12-22,13.47
155,2025-12-22,2,300404,博济医药,0.951,2025-12-22,9.54
156,2025-12-22,3,300463,迈克生物,0.95,2025-12-22,11.49
157,2025-12-29,1,002096,易普力,0.958,2025-12-29,13.37
158,2025-12-29,2,300404,博济医药,0.951,2025-12-29,9.42
159,2025-12-29,3,300463,迈克生物,0.95,2025-12-29,11.34
