股票代码,股票名称,匹配度,价格,日期,核心特征匹配,流通市值,1周后收益,2周后收益,4周后收益,8周后收益,扫描周
000009,中国宝安,1.0,9.94,2025-12-19,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,2.21,-0.91,,,2025-12-19
000010,美丽生态,1.0,3.67,2025-12-19,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,-3.0,-3.81,,,2025-12-19
000006,深振业Ａ,1.0,10.19,2025-12-26,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,-2.36,,,,2025-12-26
000007,全新好,1.0,11.39,2025-12-26,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,0.44,,,,2025-12-26
000008,神州高铁,1.0,2.9,2025-12-26,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,-1.72,,,,2025-12-26
000009,中国宝安,1.0,10.16,2025-12-26,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,-3.05,,,,2025-12-26
000010,美丽生态,1.0,3.56,2025-12-26,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,-0.84,,,,2025-12-26
000006,深振业Ａ,1.0,9.95,2025-12-31,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,,,,,2025-12-31
000007,全新好,1.0,11.44,2025-12-31,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,,,,,2025-12-31
000008,神州高铁,1.0,2.85,2025-12-31,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,,,,,2025-12-31
000009,中国宝安,1.0,9.85,2025-12-31,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,,,,,2025-12-31
000010,美丽生态,1.0,3.53,2025-12-31,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,,,,,2025-12-31
