股票代码,股票名称,匹配度,买入价格,扫描日期
000006,深振业Ａ,1.0,10.43,2025-12-01
000004,*ST国华,1.0,12.36,2025-12-01
000010,美丽生态,1.0,3.93,2025-12-01
000007,全新好,1.0,10.87,2025-12-01
000011,深物业A,1.0,9.38,2025-12-08
000006,深振业Ａ,1.0,10.21,2025-12-08
000004,*ST国华,1.0,11.35,2025-12-08
000010,美丽生态,1.0,3.71,2025-12-08
000007,全新好,1.0,9.89,2025-12-08
000011,深物业A,1.0,9.03,2025-12-15
000006,深振业Ａ,1.0,9.82,2025-12-15
000004,*ST国华,1.0,10.82,2025-12-15
000010,美丽生态,1.0,3.53,2025-12-15
000007,全新好,1.0,11.61,2025-12-15
000011,深物业A,1.0,9.08,2025-12-22
000006,深振业Ａ,1.0,9.78,2025-12-22
000004,*ST国华,1.0,10.59,2025-12-22
000010,美丽生态,1.0,3.63,2025-12-22
000007,全新好,1.0,11.77,2025-12-22
000011,深物业A,1.0,8.93,2025-12-29
000006,深振业Ａ,1.0,9.8,2025-12-29
000004,*ST国华,1.0,10.88,2025-12-29
000010,美丽生态,1.0,3.58,2025-12-29
000007,全新好,1.0,11.36,2025-12-29
